Ticker,Date,Open,High,Low,Close,Adj Close,Volume,MA_10,MA_30,Daily_Return,Volatility_30
AAPL,07-02-2023,150.6399994,155.2299957,150.6399994,154.6499939,154.4142303,83322600,,,,
AAPL,08-02-2023,153.8800049,154.5800018,151.1699982,151.9199982,151.6884003,64120100,,,-1.765273738,
AAPL,09-02-2023,153.7799988,154.3300018,150.4199982,150.8699951,150.6399994,56007100,,,-0.691155256,
AAPL,10-02-2023,149.4600067,151.3399963,149.2200012,151.0099945,151.0099945,57450700,,,0.09279472,
AAPL,13-02-2023,150.9499969,154.2599945,150.9199982,153.8500061,153.8500061,62199000,,,1.880677902,
AAPL,14-02-2023,152.1199951,153.7700043,150.8600006,153.1999969,153.1999969,61707600,,,-0.422495372,
AAPL,15-02-2023,153.1100006,155.5,152.8800049,155.3300018,155.3300018,65573800,,,1.39034264,
AAPL,16-02-2023,153.5099945,156.3300018,153.3500061,153.7100067,153.7100067,68167900,,,-1.04293768,
AAPL,17-02-2023,152.3500061,153,150.8500061,152.5500031,152.5500031,59144100,,,-0.754670231,
AAPL,21-02-2023,150.1999969,151.3000031,148.4100037,148.4799957,148.4799957,58867200,152.5569992,,-2.66798246,
AAPL,22-02-2023,148.8699951,149.9499969,147.1600037,148.9100037,148.9100037,51011300,151.9830002,,0.289606645,
AAPL,23-02-2023,150.0899963,150.3399963,147.2400055,149.3999939,149.3999939,48394200,151.7309998,,0.329051254,
AAPL,24-02-2023,147.1100006,147.1900024,145.7200012,146.7100067,146.7100067,55469600,151.3150009,,-1.80052697,
AAPL,27-02-2023,147.7100067,149.1699982,147.4499969,147.9199982,147.9199982,44998500,151.0060013,,0.82475046,
AAPL,28-02-2023,147.0500031,149.0800018,146.8300018,147.4100037,147.4100037,50547000,150.362001,,-0.344777253,
AAPL,01-03-2023,146.8300018,147.2299957,145.0099945,145.3099976,145.3099976,55479000,149.5730011,,-1.424602165,
AAPL,02-03-2023,144.3800049,146.7100067,143.8999939,145.9100037,145.9100037,52238100,148.6310013,,0.412914537,
AAPL,03-03-2023,148.0399933,151.1100006,147.3300018,151.0299988,151.0299988,70732300,148.3630005,,3.50900897,
AAPL,06-03-2023,153.7899933,156.3000031,153.4600067,153.8300018,153.8300018,87558000,148.4910004,,1.85393834,
